country,hdi_1990,hdi_1991,hdi_1992,hdi_1993,hdi_1994,hdi_1995,hdi_1996,hdi_1997,hdi_1998,hdi_1999,hdi_2000,hdi_2001,hdi_2002,hdi_2003,hdi_2004,hdi_2005,hdi_2006,hdi_2007,hdi_2008,hdi_2009,hdi_2010,hdi_2011,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021,hdi_2022,hdi_2023,mys_1990,mys_1991,mys_1992,mys_1993,mys_1994,mys_1995,mys_1996,mys_1997,mys_1998,mys_1999,mys_2000,mys_2001,mys_2002,mys_2003,mys_2004,mys_2005,mys_2006,mys_2007,mys_2008,mys_2009,mys_2010,mys_2011,mys_2012,mys_2013,mys_2014,mys_2015,mys_2016,mys_2017,mys_2018,mys_2019,mys_2020,mys_2021,mys_2022,mys_2023,gdi_1990,gdi_1991,gdi_1992,gdi_1993,gdi_1994,gdi_1995,gdi_1996,gdi_1997,gdi_1998,gdi_1999,gdi_2000,gdi_2001,gdi_2002,gdi_2003,gdi_2004,gdi_2005,gdi_2006,gdi_2007,gdi_2008,gdi_2009,gdi_2010,gdi_2011,gdi_2012,gdi_2013,gdi_2014,gdi_2015,gdi_2016,gdi_2017,gdi_2018,gdi_2019,gdi_2020,gdi_2021,gdi_2022,gdi_2023,gnipc_1990,gnipc_1991,gnipc_1992,gnipc_1993,gnipc_1994,gnipc_1995,gnipc_1996,gnipc_1997,gnipc_1998,gnipc_1999,gnipc_2000,gnipc_2001,gnipc_2002,gnipc_2003,gnipc_2004,gnipc_2005,gnipc_2006,gnipc_2007,gnipc_2008,gnipc_2009,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021,gnipc_2022,gnipc_2023,gii_1990,gii_1991,gii_1992,gii_1993,gii_1994,gii_1995,gii_1996,gii_1997,gii_1998,gii_1999,gii_2000,gii_2001,gii_2002,gii_2003,gii_2004,gii_2005,gii_2006,gii_2007,gii_2008,gii_2009,gii_2010,gii_2011,gii_2012,gii_2013,gii_2014,gii_2015,gii_2016,gii_2017,gii_2018,gii_2019,gii_2020,gii_2021,gii_2022,gii_2023
Benin,0.351,0.358,0.363,0.371,0.375,0.383,0.389,0.396,0.401,0.407,0.415,0.426,0.435,0.442,0.449,0.456,0.462,0.469,0.475,0.48,0.485,0.49,0.497,0.506,0.509,0.511,0.51,0.507,0.507,0.507,0.504,0.506,0.512,0.515,1.452573865,1.529262549,1.610000014,1.695000017,1.780000019,1.865000021,1.950000024,2.035000026,2.120000029,2.205000031,2.290000033,2.375000036,2.460000038,2.472683366,2.485366694,2.498050022,2.51073335,2.523416678,2.536100006,2.548783334,2.561466662,2.57414999,2.586833318,2.599516646,2.612199974,2.624883302,2.63756663,2.650249958,2.841894984,3.03354001,3.113870025,3.194200039,3.194200039,3.194200039,,,,,,0.736,0.763,0.767,0.777,0.786,0.789,0.792,0.786,0.794,0.802,0.807,0.812,0.816,0.819,0.822,0.838,0.838,0.836,0.841,0.844,0.85,0.858,0.859,0.859,0.848,0.862,0.86,0.85,0.866,2226.929974,2260.339349,2211.5574,2280.659702,2232.914425,2322.799094,2362.786395,2441.994156,2481.528997,2540.646105,2608.492032,2664.875134,2698.758313,2707.628873,2746.120811,2714.79795,2732.586446,2809.678731,2874.903394,2849.984213,2819.911685,2831.206641,2869.225288,2988.908003,3090.145533,3042.714164,3050.897721,3123.176038,3239.335488,3363.48276,3394.211342,3557.079405,3666.362316,3805.527516,0.7,0.697,0.687,0.68,0.673,0.665,0.655,0.652,0.652,0.658,0.655,0.657,0.668,0.659,0.652,0.65,0.649,0.628,0.629,0.635,0.637,0.652,0.653,0.652,0.653,0.659,0.659,0.656,0.645,0.636,0.638,0.634,0.64,0.573
Sub-Saharan Africa,0.405,0.409,0.408,0.411,0.413,0.42,0.423,0.427,0.43,0.433,0.435,0.441,0.449,0.457,0.466,0.473,0.481,0.489,0.497,0.503,0.51,0.517,0.523,0.528,0.534,0.54,0.543,0.546,0.551,0.557,0.557,0.558,0.565,0.568,3.342058012,3.498217938,3.648647866,3.80818757,3.961974212,4.099847964,4.157946331,4.221363549,4.294479725,4.323127422,4.059658698,4.163584391,4.326557635,4.437896684,4.54235689,4.581730853,4.679240405,4.77978562,4.905651938,4.997884345,5.040127961,5.109947235,5.197224483,5.274339094,5.392515677,5.554666622,5.661327327,5.688085418,5.78945172,5.948868515,5.944339991,6.140267803,6.175707398,6.163414191,,,,,,,,,,,0.853,0.848,0.849,0.851,0.854,0.857,0.863,0.87,0.869,0.874,0.882,0.887,0.884,0.888,0.894,0.895,0.898,0.901,0.898,0.893,0.906,0.911,0.915,0.916,3187.087225,3129.861411,2898.632143,2832.895762,2788.47417,2852.909333,2919.546151,2956.720045,2955.286037,2908.951289,2915.016447,2961.97415,3103.896474,3164.710776,3295.709872,3408.020347,3553.076862,3621.547059,3678.806122,3731.773788,3880.141868,3973.525947,4058.958207,4143.037566,4292.525493,4345.817766,4274.989239,4274.309909,4293.870139,4324.221898,4205.054326,4261.973791,4304.782512,4351.55492,,,,,,,,,,,0.648,0.645,0.641,0.633,0.627,0.619,0.615,0.61,0.608,0.605,0.603,0.599,0.597,0.594,0.591,0.585,0.583,0.579,0.577,0.575,0.568,0.563,0.561,0.558
